gold_left,sum_unit_tier,mean_unit_rarity,placement
1,18,2.6666666666666665,5
1,15,2.7777777777777777,2
0,19,1.875,4
40,14,1.5714285714285714,8
10,16,3.111111111111111,6
0,17,4.4,2
42,15,2.375,4
10,11,2.1666666666666665,8
40,17,2.0,3
4,15,4.222222222222222,1
10,13,3.5,5
0,15,2.2222222222222223,7
17,19,3.7,1
6,18,2.333333333333333,2
0,13,2.125,7
0,20,3.727272727272727,4
25,19,2.555555555555556,3
1,17,3.9,6
1,17,5.181818181818182,5
1,14,2.625,8
1,21,2.0,5
1,13,3.375,4
51,14,2.375,7
2,12,2.125,8
11,19,2.555555555555556,1
48,15,2.5,3
1,17,1.75,6
0,17,2.6666666666666665,2
0,16,3.6666666666666665,5
41,12,2.125,8
53,17,2.555555555555556,3
2,16,3.3,2
41,14,3.888888888888889,6
2,18,2.6666666666666665,1
1,16,2.7777777777777777,4
22,13,3.25,7
20,17,2.7777777777777777,4
19,20,4.181818181818182,1
0,17,4.3,2
0,19,4.2727272727272725,3
0,15,1.75,8
19,13,4.5,5
3,17,2.75,7
3,17,3.4,6
2,18,2.7,3
6,19,4.0,5
0,15,4.8,4
22,18,4.3,1
1,17,4.111111111111111,2
20,17,3.6666666666666665,7
1,10,1.6666666666666667,8
51,13,2.0,6
1,15,1.625,7
28,16,2.0,6
1,16,2.75,3
1,19,3.555555555555556,1
0,20,3.363636363636364,2
0,12,1.625,8
0,18,2.0,4
1,12,2.0,5
42,12,3.125,7
19,16,2.375,4
1,19,2.0,3
17,22,3.1818181818181817,2
0,15,4.909090909090909,8
2,17,2.4,5
0,17,4.333333333333333,6
34,42,6.5625,1
26,19,2.6666666666666665,1
1,16,3.7,4
35,15,2.625,3
1,17,1.875,7
9,16,3.0,2
1,14,3.111111111111111,6
28,15,2.375,5
7,12,2.5,8
1,17,2.6666666666666665,5
1,11,2.625,8
0,18,2.4,7
0,15,3.888888888888889,4
1,16,4.2,1
2,16,3.333333333333333,3
0,16,2.2222222222222223,6
2,17,4.111111111111111,2
15,16,2.555555555555556,1
1,13,2.555555555555556,6
3,14,2.625,5
1,17,1.375,8
0,17,3.3,4
0,15,1.625,7
3,17,3.555555555555556,2
1,17,3.555555555555556,3
1,23,4.25,1
15,16,2.0,6
22,16,3.111111111111111,4
6,15,4.0,2
2,12,2.75,8
0,18,3.7,3
10,13,3.625,7
1,19,3.1,5
6,20,3.6,2
40,13,2.571428571428572,5
2,14,2.555555555555556,8
6,21,3.1,1
3,12,4.111111111111111,7
0,19,2.2222222222222223,4
13,18,2.75,3
1,14,3.2222222222222223,6
0,16,2.0,4
1,17,2.333333333333333,6
43,15,5.1,5
0,12,1.8333333333333333,8
2,16,2.125,3
0,15,4.555555555555555,7
5,18,3.111111111111111,2
1,18,3.4444444444444446,1
