match_id,puuid,gold_left,placement
NA1_5220671593,fKqbXbKSqs1O1EV7unjFcUVaOcA2Qu94HYWzjTisVQOJuwe70SCRvq7JBYkSAsHAWRik-Emj_9acHw,10,1
NA1_5220671593,Va4hPQ78xVz3kOxHrLFLBKygEkkg29Ri5rVZxooMay80TpkzN48eRoScPnPN4uYBITiTwmz_P8ytKg,0,8
NA1_5220671593,N6hUbf5jCA8XIDtWZcM67gJ3Wi06hzcTKTE-uFzfExvQPqW_RMCacerisSiUXQiUOJ1xikeQ-EiGcw,14,3
NA1_5220671593,wjziaJEizlKMauVJsK2LEks5lceAKt12okHZjh6Hk7NWIL6NEY4-eaNVr4tQrkns_EEImHz9ngI4bw,3,2
NA1_5220671593,_2HH0iiP-q2-99mAe7mk7qKn1QGiuQNfcRMqvuJiDOZZSKqZ0G5kajAmz88mBwg2geXDLZhA-VcK6w,4,6
NA1_5220671593,6nEjICad_Tus_4IP3J1w_HIANW2l548Inkh1-3y_Qy2GFkGza709t6Jfo4CT3muCEqm3GLLld3leKg,2,7
NA1_5220671593,gAiBqaiZoagd_itCEe4X2cVbvHrrkvnbIIcCPf0-n3qDbsQ63wXqekLa2_w2WMJMo6WGCdQjfZ8Kwg,0,4
NA1_5220671593,vsEDgKF7xLCkfORgosaet9L2d8KEpDAvocIOAT7_UjnxfwArezWeVjIB2H_bJqflZNAeSqmXo9Qb2Q,0,5
NA1_5217808171,_rgjwLHAePIfd2ByRNIIKxSCSrTNFYpsNygYQXFj4pAI_l4F9FTk5daPgFPGE7vfXcfKCvXjOabD7w,2,1
NA1_5217808171,PlB-8bXpVj0oKAnZBx7u6eT2VM8ckj5yoIStKPUpozkG1Na79ov5NHcvZ12VR8pCONGscNAUfdLlcQ,2,7
NA1_5217808171,ldEqv22wC68ucVrtJMhhC-WPK26HCzNuo573ZVOABv7G02ENpIHm5n0c9rnIdbYAGCNvJNNu7YEA-g,12,2
NA1_5217808171,zdaggeXpTlbgKnBhqMRmZZFBx5RuuUOhigbNu427wmDU97WofDe2lkej6pJh3GOZRXkLFW5neYfJNQ,1,6
NA1_5217808171,B7jrZcHlpfVzYaDD1DIuienopEj0AZqo7-qQIj53WyXQt-gAL-tzG9-RzjrLhGWV0-e0LChTeMPNKw,30,8
NA1_5217808171,i3Xwwg76MKoJ1xk9w26o3xs4DGs0dQiq_0G1tLXHIpkKNFGEqLjNu_w2zqz9G5Un9eniLWiVCApiqg,0,4
NA1_5217808171,IsKND1AAPXC2wxkk_VTbjkkJQS1JChulE2tcl1HYg37evEb1qO4bMhgM04LklX4Ufscv3jPkUH6f5A,1,5
NA1_5217808171,vBscfHqSfdXBhjH86pite3Z0zaJLhyKKvsDxyFa1lmwOik6_JBho_wvFFZ2OiMmvwIwUJO6QZ5kUBQ,3,3
NA1_5219066342,QE6SFm4wuQca_hVOIHQ7XATthybdndGVCCYp3Y7O3elixemEft_M8Xc56aGd1566bysgVLw-kLoM6Q,0,5
NA1_5219066342,rbWTr9hHoT4e2uo5i97_oEg3y0fm8-zb_4cwpjEdzq9hkmcOB9G5-lqu4nxqtRFO8rC1UXD2HQrtLA,1,8
NA1_5219066342,z4jaLYAo1sgvo3seiJ9ufnfOaBAX3nOk6lC34kd7zMWUghdjiC_rQWgKXJmFwr2o6pXVTwpKNUV1gQ,11,4
NA1_5219066342,k0IaZl6lA2MmxtILKXFWClZs8pL8GKBDUonh52tF29ZWIFXMkIj1r7F_71hibMGfNUg-uhnr_5ubmQ,0,3
NA1_5219066342,Hpeb0KBe6iEHHuHCgu-Htld1kf3Kx-M9VMguhVJI1M49b4M87X7sWs7vAn_r46hiX7MPcaV9DSY6Sg,1,6
NA1_5219066342,SENMFL8uTPjdBUd11Dj6tumlbqkqgCDeVDm8vgsNCKpnOBVZbSE27zKzOL3MIlGjIeTxT6WliOtUfg,3,7
NA1_5219066342,EiK3HyIZYzPp_ntC2FpPLqdw7G9MDamalUPQ2gtCRobyYEeUm2XALfp64dBPv7GF7F0fAu3B_fpffw,2,1
NA1_5219066342,6Isd6T1fJwzrZpFV0HH_0uSEmbdf5r4Q8qpy3q_-IyTu2xK2DLdHJwMh0Wf47XSt6uY8HoTqihy-mA,3,2
NA1_5221211951,Hjd8VBKjpmlGWtqsPgwg_kCk5kLuHnVm9P4xWrDkoKWzhsMHIDGOMrSVLMjulciLUfvDtKxS1vcM3w,0,8
NA1_5221211951,JEF4EfDBLgLKLZMer7mt5_9Vj8O0qJR3ulWBxBQr1vO7kSc8YDfyFJbZ5m5Tis_paKiSHXfTFz16bA,19,3
NA1_5221211951,eiIawJ00qvQcA3GSER1aXugdIjM7BiniAy9IfOeWz0MEGxw1NqMUnih6y6jpfFtgsKxebitOfWA0YQ,0,5
NA1_5221211951,SgoqFF1bCJxMkVuoCK3w8q7JoIwdjw-rrYMLNmg16nSdhqWChvmps15uTlaqSNVrwM6QTYnpBnNDaA,1,2
NA1_5221211951,PxRi5q0u2dpXpA8Jg7O1_Giczp3_rJCLFIJyFIJGTZizTLBOLXiuTjehMfH_peyOs-ykXzHOKg-Acg,18,4
NA1_5221211951,Oo8cihkRqtjA3UgFwU3Tpsx2hGjrEWzXHX4nmfk6uICjSwI4I8xCNHt6LAcnjugW5PNT5x7lMKDk1w,6,1
NA1_5221211951,y52-3ra1kJMs_x61m3TEhewQCpjTjLMOAq9jjPaK9t2ua1oFbuTwWTEvk8fkuS99bg5zr4dL9H3i-w,5,6
NA1_5221211951,xqmlvsLVGrRW9J-_iLr3wLD0y6sQT-nB976t4FT6Kjsx-rx4sC2yJqjJ29l_T84st13gGZPTYzAvRw,0,7
NA1_5220760007,vBscfHqSfdXBhjH86pite3Z0zaJLhyKKvsDxyFa1lmwOik6_JBho_wvFFZ2OiMmvwIwUJO6QZ5kUBQ,1,1
NA1_5220760007,w_Aw8ZLfUAQcdM09SzRnmduCXdH3CJ-BUVNq5v8DfRxvpCQPAiTAlsF5YfWLYBe1ewiyJtNuUHNWfg,1,5
NA1_5220760007,_rgjwLHAePIfd2ByRNIIKxSCSrTNFYpsNygYQXFj4pAI_l4F9FTk5daPgFPGE7vfXcfKCvXjOabD7w,1,6
NA1_5220760007,njkVBmbtKwLBpApn9N6vY9SeF1lEp4lO2jBw2VoTQR-8IswyuAF6DjUm3BSAF-lzegIgEgumZqED_g,11,3
NA1_5220760007,SgoqFF1bCJxMkVuoCK3w8q7JoIwdjw-rrYMLNmg16nSdhqWChvmps15uTlaqSNVrwM6QTYnpBnNDaA,2,2
NA1_5220760007,rU8_hMjkPzZoO2s7yGqGCE3Gs5nMXKqFYaZq2PeWMgJnGTapgxAE9jL8PeFV5gfiU2RdIE1yWgj2VA,2,4
NA1_5220760007,6Isd6T1fJwzrZpFV0HH_0uSEmbdf5r4Q8qpy3q_-IyTu2xK2DLdHJwMh0Wf47XSt6uY8HoTqihy-mA,1,7
NA1_5220760007,QE6SFm4wuQca_hVOIHQ7XATthybdndGVCCYp3Y7O3elixemEft_M8Xc56aGd1566bysgVLw-kLoM6Q,11,8
NA1_5215025413,5A-4KiLAz8C0sAPkxPSHr2BLrQ3-vM3McGQD6OlhIAJrs8b9l24xMLkyWQxGQpa5PyHdlvz0vQZh9g,1,6
NA1_5215025413,B-gjd1sONjsEJCivHBSkBG8HuiBsdOxDFOYQDVH9y-H4p76ecACXW5b3tHowskuqnOxYThupkkLQMg,0,3
NA1_5215025413,f4-pWENMWymnZg0i7D6Q3tiIASN0Ce5pzgXsuF7N3vsw0h9pZQprTFaqOfjlz9ozPX3W_Xha_2gcyA,11,7
NA1_5215025413,qWQxo4YpAsW_-N2cXC-o-Oo4dTyPAT1rFhahXM5PLLVDYGFPZSx0IzmrmqAaNy6qnxV3xuwQaqY7Aw,0,4
NA1_5215025413,Xs5bUh_pQtN1IencDi6sRDbrRVeXIRbvIOFsiLzUfbmngNMcrBoKq9CdTmWsAtuFcZ5tIl6HXPjGgQ,1,8
NA1_5215025413,V32fys5vmgOFK-r0mjjE8Kox08_owh9eW0ynlhqIO2zeIzmLCcZLL-YJFDQuKMePqKRFLGiRzDdWWg,1,5
NA1_5215025413,l5OsXI7hoDAi_n5_CDM2D64nJNOERnox4qJZGGquhZ6Spw8bLFu44Kp-NVIPXP_CZ1oT0vMR_rQY5g,4,2
NA1_5215025413,w_Y7hBFo3ZLCe63fLeQUHMMpU9sSf4jjQsaDlbwYpLwH1T45arCBzMr5hoU-d-wtS3t2pZZSKH9kqQ,28,1
NA1_5219439154,A8MujbH9RnDCIiDIhMIip4owhLmiUatzDpu8wUdxlTUMenr-xC_BTipQW3Q_5DNqseuhfvTgpEEsxw,1,8
NA1_5219439154,byfsOBglhkkQvmU5kKqiWpQGm6ckZ5W49GpmAU9wx9PEPV0guMQNdmOJsr7htSsw4T-cGpgGCABoRA,1,7
NA1_5219439154,H0K-JKRZo1O9YjfgETnQZ3_36_dbkeF78srdPT2IChb3QK4NfE8eGuT6LXMvl7bUCjHl8DB3tyInfg,0,2
NA1_5219439154,fAs1BJT3sKfg8bwNQN1UHTiw6ALWt-_K3ETd8Sa2AYZpStLzSOaCms6Ljv6I9R41LQ9pQ9VW6lCeUg,32,1
NA1_5219439154,X_9B1XHoPZQpu-yfAOP8JgmIKdMJxy84mUOsUEzXBZJLduLAxEMGjp7PY2gonPwXDz3WtuIJ_C6Q7Q,32,3
